start	end	text
3338	6159	Sleepin' on the floor, now my jewelry box froze.
6278	9459	Fuck a bowl, fuck a stove, counted millions in a cold.
9598	12779	Bad bitch, booted swole, got her own bankroll.
12918	16139	Can't fold, just a note, headshot, case closed.
16638	20079	What is up guys, it's Andy Frisella and this is the show for the real.
20118	23319	Let's say goodbye to the lies, the fakeness, and delusions of modern society.
23418	24699	Welcome to motherfuckin' reality.
24818	28899	Guys, today we have Andy and DJ!
29528	31249	Cruz the motherfucking internet.
31368	32110	That's what we're going to do.
32168	33469	That's what CTI stands for.
33528	34889	It stands for Cruz the internet.
36048	37849	I didn't know if you guys could figure that out.
38448	40709	But what we do here is we put topics on the screen.
40828	43029	We speculate on what's true and what's not true.
43608	48669	And then we talk about how we the people have to solve these problems that all these knuckleheads create.
49828	51189	Let's just get right into it.
51808	53329	We don't run ads on the show.
55229	57050	So we ask that you don't be a hoe.
58129	59230	And you share the show.
59309	59711	There you go.
60069	60333	Yep.
60809	61990	You're looking good, man.
62149	62452	Is it?
62549	62932	Damn.
63229	63454	Yeah.
63829	66729	I saw you trying to start work out, and I know what the fuck you're up to.
66889	67550	What am I up to?
67729	69809	Trying to fucking catch up and beat me.
70289	71170	I can't let you.
72880	73542	I can't let you.
73860	75141	I can't.
75240	76381	Bro, you look good, man.
76420	76645	Shit.
77020	77542	You're looking good.
77560	79161	I don't know if it might just be the sweater.
79320	80581	I don't think it's the sweater, though.
80580	81302	No, it's my face.
81360	81862	Fuck, man.
82020	82642	Like, hey.
83000	83225	Yeah.
83340	83842	What's up?
84160	84802	You tell me.
84800	85721	You look good, too, bro.
85860	86362	Thanks, man.
86340	86882	Pull me down.
87020	87324	Yeah.
88540	90261	We had a big event this weekend.
90840	92401	Dude, that was a big historic event.
92620	92924	Right.
92900	92960	Yeah.
92960	93981	Yeah.
93960	94185	Yeah.
94160	94180	Yeah.
95898	98578	Big Jim turns 80 years old yesterday.
99278	99601	Shit.
99658	100759	We went to dinner on Saturday.
100858	101519	It was a good time.
101678	102100	It was good.
102218	103019	It was a good time, man.
102998	103739	It's always nice.
103938	104559	It's always nice.
104638	106558	He was kind of surprised.
107678	108978	You know, he's been around, man.
108978	110938	It's hard to get him.
111423	112923	I mean, he's been around that many blocks.
113103	113328	Yeah.
113463	116143	I mean, he fought in the Civil War.
118863	120463	He's seen it, thank you, too.
120563	121105	That's for sure.
121343	121530	Yeah.
121963	122844	80 years.
122923	123484	Fuck, man.
123603	124464	That's a long time.
124523	125484	Yeah, still moving, though.
125463	126983	We ought to get him on the show, maybe.
127723	128724	I mean, if you got-
128703	129584	Do an interview of his 80 years.
129643	133323	Yeah, if you guys are ready for a six-hour podcast, let us know.
133803	134544	That's the truth.
135443	136823	It's going to be an all-day affair.
138406	139047	What else going on?
139026	140067	It'll be fucking good, though, man.
140066	140291	Yeah.
140266	141627	Yeah, everything is good, man.
141966	143127	You know, everything is good.
143206	144607	We got a lot to talk about.
145046	145528	I bet.
145686	146029	Yeah.
146426	146988	I bet.
147346	148507	Let's do some cruising.
148726	149168	Let's do it.
149146	153806	Before we get to our headlines, you know, I always try to throw a little special sauce
153786	154387	in there for you.
155646	156887	We just landed on the moon.
158366	158948	Who did?
159306	159768	We did.
160426	161027	Me and you?
161166	162007	No, like America.
162246	162549	Oh.
162826	163090	Yep.
163246	163828	Lunar Lander.
164832	169387	Firefly blue glow blue ghost lunar lander touches down on the moon.
169407	170092	This is the first time
171332	173353	ever
175152	179572	How about say, you know, I was gonna say, you know, I would believe this when chicks can grow
179552	182532	You can't look back at them at the fucking old footage
182592	188152	You cannot look back at the old footage and be like, yeah and be like, oh, yeah, that's totally real like
189892	190653	You just can't.
191232	197172	If you do, I got some ocean property in Arizona, bro.
197212	197634	Bro.
197772	204792	Like, you just can't tell me that's real.
204832	205194	I'm sorry.
205172	207912	Listen, I believe this when chicks can have dicks.
208132	208793	You know what I'm saying?
209032	210652	Well, apparently they can.
210712	212212	Well, one's more truer than the other, though.
214272	215872	Did you see that study I sent you?
216301	217642	Oh, yeah, dude, that's sad.
217641	225621	Bro, I sent DJ a study today, and they said that they ran some studies on people who actually transition.
225601	236101	So one of the big arguments in gender transition is that before they transition, they have a likelihood suicide rate of, I think, like 48%.
236081	238361	Right, and so doing the surgery saves their lives.
238361	240841	Yes, that's the justification for these people.
241021	243261	But now there's been a study that's come out.
243638	247659	A recent study published in Oxford's.
247638	248719	Yeah, well, you know Oxford.
248938	249819	They don't know what they're doing.
249858	250879	They trust science there.
251858	265279	Oxford's Journal of Sexual Medicine sampling 107,000 people found that sex change surgery doubles depression rates among gender dysphoric individuals rather than reducing.
265378	267299	So it goes from 48 to 96.
268298	269739	I ain't going mad.
271878	273139	Who's counting, man?
273118	273442	Yeah.
273625	276586	I would have never guessed.
276745	280826	I would have never guessed that if you cut off your penis,
280925	282406	that eventually you're going to regret it.
282385	283146	You're going to have some problems.
283285	286406	I would never have guessed if you cut off your breasts,
286445	288046	eventually you're going to regret it.
